dataset,repeat,split_id,seed,split_policy,method,grid_id,num_nodes,num_features,num_classes,train_size,val_size,test_size,lambda_smooth,d_s,d_r,tau_gate,gamma,fit_time_sec,selection_rule,alpha_mode,alpha_nonzero,learned_alpha_nonzero,alpha_abs_sum,overlap_abs_sum,overlap_max,gate_mean,gate_min,gate_max,base_abs_mean,cross_abs_mean,gamma_cross_abs_mean,final_abs_mean,train_acc,val_acc,test_acc,time_sec
actor,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,13,7600,932,5,3648,2432,1520,0.0,8,8,5.0,100.0,4.83,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.5836734151760805,0.5836734151760805,0.09219214693772478,0.5,0.5,0.5,915.4858622908872,0.025178530663363122,2.517853066336312,912.9680092245509,0.4638157784938812,0.3371710479259491,0.33618420362472534,5.86
actor,1,1,1,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,13,7600,932,5,3648,2432,1520,0.0,8,8,5.0,100.0,4.631,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.6056113160971268,0.6056113160971268,0.10653522605764457,0.5,0.5,0.5,914.7577404893528,0.034257980182514566,3.4257980182514567,911.3329002723373,0.4638157784938812,0.3318256437778473,0.3236842155456543,5.663
actor,2,2,2,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,17,7600,932,5,3648,2432,1520,0.0,8,8,5.0,10.0,4.546,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_neg,20,20,0.9670149463898896,0.9670149463898896,0.12463825235419529,0.5,0.5,0.5,914.238442824241,0.07588351077020934,0.7588351077020934,914.9972779319431,0.46271929144859314,0.32894736528396606,0.3217105269432068,5.572
actor,3,3,3,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,12,7600,932,5,3648,2432,1520,0.0,8,8,5.0,10.0,4.556,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,1.1436808055406058,1.1436808055406058,0.1433700816629605,0.5,0.5,0.5,914.1846505794311,0.07413830770775172,0.7413830770775172,913.4493982672415,0.4750548303127289,0.33799341320991516,0.32039472460746765,5.587
actor,4,4,4,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,12,7600,932,5,3648,2432,1520,0.0,8,8,5.0,10.0,4.577,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.5981607748431342,0.5981607748431342,0.11082039595481505,0.5,0.5,0.5,914.7527303670158,0.033508457823180286,0.3350845782318029,914.417645788784,0.47094297409057617,0.32360196113586426,0.31776314973831177,5.619
chameleon,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,12,2277,2325,5,1092,729,456,0.1,8,8,5.0,10.0,3.584,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.1028461996481701,0.1028461996481701,0.0072109180640466865,0.5065783175753041,0.4825246034738392,0.5280603727745512,2094.5978150625347,0.0009581514545538521,0.009581514545538522,2094.588233547989,0.7417582273483276,0.5048010945320129,0.4736842215061188,7.044
chameleon,1,1,1,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,7,2277,2325,5,1092,729,456,0.1,8,8,5.0,10.0,3.676,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.1187397857124387,0.009777340228190056,0.5166375809544219,0.4842819103455581,0.5541347975495563,2089.764153624148,0.0,0.0,2089.764153624148,0.7234432101249695,0.4677640497684479,0.4934210479259491,6.454
chameleon,2,2,2,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,14,2277,2325,5,1092,729,456,0.1,8,8,5.0,1000.0,3.61,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.08890416609673468,0.08890416609673468,0.010202464278287816,0.5165389277185187,0.4914391928441685,0.5523286879605082,2091.6064140021454,0.00112110886027366,1.12110886027366,2090.485305141872,0.7362637519836426,0.4924554228782654,0.46271929144859314,6.468
chameleon,3,3,3,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,19,2277,2325,5,1092,729,456,0.1,8,8,5.0,1000.0,4.89,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_neg,20,20,0.11511692706361162,0.11511692706361162,0.009322907114435055,0.5072385573488879,0.49166743818588066,0.5256623623256915,2095.1513386949064,0.0013701591819666634,1.3701591819666634,2096.5214978768727,0.7344322204589844,0.44581618905067444,0.4714912176132202,8.602
chameleon,4,4,4,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,7,2277,2325,5,1092,729,456,0.1,8,8,5.0,10.0,4.556,fixed_base_then_layer3_grid_select_by_val_only_no_test,learned,0,0,0.0,0.09588856076358496,0.007506342328812939,0.5103104300113389,0.48958484011263526,0.5348595545764826,2094.478534613993,0.0,0.0,2094.478534613993,0.6895604133605957,0.39094650745391846,0.4429824650287628,7.463
wisconsin,0,0,0,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,14,251,1703,5,120,80,51,0.0,8,8,5.0,1000.0,0.234,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.24948292350425796,0.24948292350425796,0.023654321154833208,0.5,0.5,0.5,1618.0315013993413,0.05418414844035726,54.18414844035726,1564.8837137284052,0.9583333134651184,0.75,0.7843137383460999,0.297
wisconsin,1,1,1,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,14,251,1703,5,120,80,51,0.0,8,8,5.0,1000.0,0.235,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,12,12,0.15934003847574332,0.15934003847574332,0.024873117097729613,0.5,0.5,0.5,2139.6916532573073,0.02427651049001645,24.27651049001645,2115.820902415538,0.9666666388511658,0.7124999761581421,0.843137264251709,0.3
wisconsin,2,2,2,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,4,251,1703,5,120,80,51,0.0,8,8,5.0,1000.0,0.231,fixed_base_then_layer3_grid_select_by_val_only_no_test,zero,0,0,0.0,0.18937124530151228,0.017505963854637357,0.5,0.5,0.5,1618.351202653604,0.0,0.0,1618.351202653604,0.9833333492279053,0.8125,0.8039215803146362,0.29
wisconsin,3,3,3,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,13,251,1703,5,120,80,51,0.0,8,8,5.0,100.0,0.228,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.35300635909343026,0.35300635909343026,0.035382854115266905,0.5,0.5,0.5,1580.151214238682,0.13615551340659476,13.615551340659476,1566.727563353741,0.9750000238418579,0.7875000238418579,0.7450980544090271,0.288
wisconsin,4,4,4,geom_gcn_mask_split_id,v6_HASDC_fixed_base_layer3_fast,14,251,1703,5,120,80,51,0.0,8,8,5.0,1000.0,0.228,fixed_base_then_layer3_grid_select_by_val_only_no_test,force_pos,20,20,0.2983565694472061,0.2983565694472061,0.025473829258252895,0.5,0.5,0.5,1595.47845393102,0.08577717885112127,85.77717885112126,1512.46054583506,0.9583333134651184,0.7749999761581421,0.6078431606292725,0.289
