split,round,objective,val_acc,test_acc,val_bal_acc,val_fp,round1_val_acc,round1_test_acc,fixed_val_vs_round1,broken_val_vs_round1,fixed_test_vs_round1,broken_test_vs_round1,top_k,dim,energy,alphas_json,w,temperature,topk_r2,alphas_r2_json,w2,cfg_json
0,2,0.8508748436865793,0.7421124828532236,0.7280701754385965,0.7423268426077415,0.06466663894513902,0.7393689986282579,0.7236842105263158,6,4,3,1,8000,96,0.99,"[0.01, 0.1, 1.0]",0.6,0.5,8000,"[0.05, 0.5, 5.0]",0.1,"{""round"": 2, ""beam_rank"": 0, ""round1_cfg"": {""round"": 1, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.99, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.6}, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.99, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.6, ""temperature"": 0.5, ""topk_r2"": 8000, ""alphas_r2"": [0.05, 0.5, 5.0], ""w2"": 0.1}"
1,2,0.807674473123021,0.7050754458161865,0.7631578947368421,0.7037492358513739,0.07408395177179114,0.7050754458161865,0.7631578947368421,1,1,0,0,8000,64,0.9,"[0.01, 0.1, 1.0]",0.6,0.5,10000,"[0.01, 0.1, 1.0]",0.05,"{""round"": 2, ""beam_rank"": 0, ""round1_cfg"": {""round"": 1, ""top_k"": 8000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.6}, ""top_k"": 8000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.6, ""temperature"": 0.5, ""topk_r2"": 10000, ""alphas_r2"": [0.01, 0.1, 1.0], ""w2"": 0.05}"
2,1,0.8488834910662703,0.7393689986282579,0.7039473684210527,0.7475039079423091,0.06527734383335156,0.7393689986282579,0.7039473684210527,0,0,0,0,8000,96,0.99,"[0.01, 0.1, 1.0]",0.5,,,[],,"{""round"": 1, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.99, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.5}"
3,2,0.8652645014237322,0.7544581618655692,0.7127192982456141,0.7551194727420706,0.06153953382868922,0.7503429355281207,0.7105263157894737,5,2,3,2,4000,64,0.95,"[0.01, 0.1, 1.0]",0.6,0.5,6000,"[0.01, 0.1, 1.0]",0.1,"{""round"": 2, ""beam_rank"": 0, ""round1_cfg"": {""round"": 1, ""top_k"": 4000, ""dim"": 64, ""energy"": 0.95, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.6}, ""top_k"": 4000, ""dim"": 64, ""energy"": 0.95, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.6, ""temperature"": 0.5, ""topk_r2"": 6000, ""alphas_r2"": [0.01, 0.1, 1.0], ""w2"": 0.1}"
4,2,0.8655370059841191,0.7544581618655692,0.7412280701754386,0.7569689614697724,0.061662502547902245,0.7503429355281207,0.7412280701754386,3,0,0,0,6000,64,0.9,"[0.01, 0.1, 1.0]",0.5,0.5,8000,"[0.01, 0.1, 1.0]",0.05,"{""round"": 2, ""beam_rank"": 1, ""round1_cfg"": {""round"": 1, ""top_k"": 6000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.5}, ""top_k"": 6000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.5, ""temperature"": 0.5, ""topk_r2"": 8000, ""alphas_r2"": [0.01, 0.1, 1.0], ""w2"": 0.05}"
5,1,0.8383825754763584,0.7311385459533608,0.7236842105263158,0.7328611495814715,0.06712857285557679,0.7311385459533608,0.7236842105263158,0,0,0,0,6000,64,0.9,"[0.1, 1.0, 10.0]",0.6,,,[],,"{""round"": 1, ""top_k"": 6000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.1, 1.0, 10.0], ""w"": 0.6}"
6,2,0.8140561518197633,0.710562414266118,0.706140350877193,0.7092076629373871,0.07218529717406777,0.710562414266118,0.706140350877193,0,0,2,2,8000,96,0.95,"[0.1, 1.0, 10.0]",0.7,0.5,8000,"[0.05, 0.5, 5.0]",0.05,"{""round"": 2, ""beam_rank"": 0, ""round1_cfg"": {""round"": 1, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.95, ""alphas"": [0.1, 1.0, 10.0], ""w"": 0.7}, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.95, ""alphas"": [0.1, 1.0, 10.0], ""w"": 0.7, ""temperature"": 0.5, ""topk_r2"": 8000, ""alphas_r2"": [0.05, 0.5, 5.0], ""w2"": 0.05}"
7,2,0.7793773603179273,0.6803840877914952,0.7039473684210527,0.6813179099502871,0.08011034915277263,0.6776406035665294,0.7017543859649122,4,2,1,0,8000,96,0.95,"[0.05, 0.5, 5.0]",0.4,0.5,8000,"[0.01, 0.1, 1.0]",0.05,"{""round"": 2, ""beam_rank"": 2, ""round1_cfg"": {""round"": 1, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.95, ""alphas"": [0.05, 0.5, 5.0], ""w"": 0.4}, ""top_k"": 8000, ""dim"": 96, ""energy"": 0.95, ""alphas"": [0.05, 0.5, 5.0], ""w"": 0.4, ""temperature"": 0.5, ""topk_r2"": 8000, ""alphas_r2"": [0.01, 0.1, 1.0], ""w2"": 0.05}"
8,2,0.8414143717023619,0.7338820301783264,0.7192982456140351,0.7346387359889618,0.06658672185772056,0.7338820301783264,0.7192982456140351,7,7,5,5,8000,64,0.9,"[0.01, 0.1, 1.0]",0.3,2.0,6000,"[0.01, 0.1, 1.0]",0.3,"{""round"": 2, ""beam_rank"": 0, ""round1_cfg"": {""round"": 1, ""top_k"": 8000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.3}, ""top_k"": 8000, ""dim"": 64, ""energy"": 0.9, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.3, ""temperature"": 2.0, ""topk_r2"": 6000, ""alphas_r2"": [0.01, 0.1, 1.0], ""w2"": 0.3}"
9,2,0.8447657481982394,0.7366255144032922,0.7368421052631579,0.7385643332200029,0.0661104047013294,0.7352537722908093,0.7390350877192983,4,3,1,2,6000,96,0.99,"[0.01, 0.1, 1.0]",0.7,1.0,6000,"[0.05, 0.5, 5.0]",0.1,"{""round"": 2, ""beam_rank"": 0, ""round1_cfg"": {""round"": 1, ""top_k"": 6000, ""dim"": 96, ""energy"": 0.99, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.7}, ""top_k"": 6000, ""dim"": 96, ""energy"": 0.99, ""alphas"": [0.01, 0.1, 1.0], ""w"": 0.7, ""temperature"": 1.0, ""topk_r2"": 6000, ""alphas_r2"": [0.05, 0.5, 5.0], ""w2"": 0.1}"


